"Time (s) Run #13","time run Run #13"
12.565,3642.59
18.185,4603.86
21.395,2399.44
27.259,4695.38
33.314,4936.87
39.872,5313.51
44.422,3249.39
49.314,3702.74
54.495,3686.10
59.017,3265.76
63.880,3753.85
69.014,4078.95
74.710,4381.17
78.409,2645.50
83.397,3567.83
88.972,4330.88
94.470,4314.94
100.420,4882.88
104.468,3014.57
110.465,4663.23
115.930,4514.54
120.978,3997.24
124.927,2815.48
130.179,4263.05
134.111,2602.36
138.923,3983.10
145.371,5382.42
150.835,4530.20
159.648,1882.93
168.231,3950.76
172.027,2697.07
179.342,4946.62
185.558,5213.92
189.990,3499.36
195.746,4755.13
200.901,3896.81
205.699,3946.81
211.314,4564.92
217.029,4765.17
228.991,4898.32
234.408,4377.34
242.570,3829.43
248.101,4445.71
254.149,5011.80
265.154,4687.10
275.159,3443.12
